	#	$	ID	number	(	)	+	-	*	/	%	<	>	==	!=	=	,	function	double	char	int	float	;	continue	break	return	if	else	while	for	{	}	S	start	primary_expression	operator	arithmetic_expression	constant_expression	assignment_operator	assignment_expression	assignment_expression_profix	assignment_expression_list	function_expression	expression	expression_profix	expression_list	type_specifier	declaration_assign	declaration_init	declaration_init_list	declaration	function_declaration	function_declaration_suffix	function_declaration_list	function_definition	function_implement	statement	statement_list	expression_statement	jump_statement	selection_statement	iteration_statement	compound_statement	external_declaration	
I26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I27	 	 	r57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r57	r57	r57	r57	r57	r57	r57	r57	r57	 	r57	r57	r57	r57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I28	 	 	s34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s6	s7	s8	s9	r29	s30	s25	s39	s23	 	s29	s33	s28	r61	 	 	 	 	 	 	 	I38	 	I26	 	 	 	 	I22	 	 	 	I32	 	 	 	 	 	I40	I56	I24	I37	I36	I27	I31	 	
I29	 	 	 	 	s57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I31	 	 	r58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r58	r58	r58	r58	r58	r58	r58	r58	r58	 	r58	r58	r58	r58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I32	 	 	r59	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r59	r59	r59	r59	r59	r59	r59	r59	r59	 	r59	r59	r59	r59	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I33	 	 	 	 	s59	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I34	 	 	 	 	 	 	s64	s65	s61	s60	s62	 	 	 	 	s66	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I36	 	 	r56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r56	r56	r56	r56	r56	r56	r56	r56	r56	 	r56	r56	r56	r56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I37	 	 	r55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r55	r55	r55	r55	r55	r55	r55	r55	r55	 	r55	r55	r55	r55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s69	 	 	 	 	 	r27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I68	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I39	 	 	s70	s77	s75	 	 	 	 	 	 	 	 	 	 	 	 	s73	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I76	 	 	I71	 	 	 	 	I74	I72	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I40	 	 	s34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s6	s7	s8	s9	r29	s30	s25	s39	s23	 	s29	s33	s28	r61	 	 	 	 	 	 	 	I38	 	I26	 	 	 	 	I22	 	 	 	I32	 	 	 	 	 	I40	I78	I24	I37	I36	I27	I31	 	
I41	 	 	 	 	s79	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I42	 	 	 	 	 	 	r4	r4	r4	r4	r4	r4	r4	r4	r4	 	r4	 	 	 	 	 	r4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r31	 	 	 	 	 	r31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r32	 	 	 	 	 	r32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I45	 	 	s80	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I46	 	 	s81	s88	s86	 	 	 	 	 	 	 	 	 	 	 	 	s85	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I87	 	 	I82	 	 	 	 	I84	I83	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I47	 	 	 	 	 	 	s93	s91	s99	s95	s92	s98	s90	s94	s97	 	r17	 	 	 	 	 	r17	 	 	 	 	 	 	 	 	 	 	 	 	I96	I89	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r41	 	 	 	 	 	r41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I49	 	 	 	 	 	 	r5	r5	r5	r5	r5	r5	r5	r5	r5	 	r5	 	 	 	 	 	r5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I50	r46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r46	r46	r46	r46	r46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s21	 	 	 	 	 	r45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s21	 	 	 	 	 	r45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I101	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I53	 	 	s81	s88	s86	 	 	 	 	 	 	 	 	 	 	 	 	s85	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I87	 	 	I82	 	 	 	 	I84	I102	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I54	 	 	r64	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r64	r64	r64	r64	r64	r64	r64	r64	r64	 	r64	r64	r64	r64	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I55	 	 	r62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r62	r62	r62	r62	r62	r62	r62	r62	r62	 	r62	r62	r62	r62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s103	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I57	 	 	s81	s88	s86	 	 	 	 	 	 	 	 	 	 	 	 	s85	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I87	 	 	I82	 	 	 	 	I84	I104	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I58	 	 	r63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r63	r63	r63	r63	r63	r63	r63	r63	r63	 	r63	r63	r63	r63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I59	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s6	s7	s8	s9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I105	 	 	 	I106	 	 	 	 	 	 	 	 	 	 	 	 	 	
I60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s107	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I61	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s108	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s109	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I63	 	 	s42	s49	s46	 	 	 	 	 	 	 	 	 	 	 	 	s45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I47	 	 	I43	 	 	 	 	I44	I110	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I64	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s111	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I65	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s112	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I66	 	 	r19	r19	r19	 	 	 	 	 	 	 	 	 	 	 	 	r19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I67	r69	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r69	r69	r69	r69	r69	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I68	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I69	 	 	s34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I113	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I70	 	 	 	 	 	 	r4	r4	r4	r4	r4	r4	r4	r4	r4	 	 	 	 	 	 	 	r4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I71	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I72	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s114	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I73	 	 	s115	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I74	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I75	 	 	s81	s88	s86	 	 	 	 	 	 	 	 	 	 	 	 	s85	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I87	 	 	I82	 	 	 	 	I84	I116	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I76	 	 	 	 	 	 	s93	s91	s99	s95	s92	s98	s90	s94	s97	 	 	 	 	 	 	 	r17	 	 	 	 	 	 	 	 	 	 	 	 	I118	I117	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I77	 	 	 	 	 	 	r5	r5	r5	r5	r5	r5	r5	r5	r5	 	 	 	 	 	 	 	r5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I79	 	 	 	 	 	r51	 	 	 	 	 	 	 	 	 	 	 	 	s6	s7	s8	s9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I119	 	 	 	 	I120	 	I121	 	 	 	 	 	 	 	 	 	 	
I80	 	 	 	 	s122	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I81	 	 	 	 	 	r4	r4	r4	r4	r4	r4	r4	r4	r4	r4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I82	 	 	 	 	 	r31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I83	 	 	 	 	 	s123	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I84	 	 	 	 	 	r32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I85	 	 	s124	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I86	 	 	s81	s88	s86	 	 	 	 	 	 	 	 	 	 	 	 	s85	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I87	 	 	I82	 	 	 	 	I84	I125	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I87	 	 	 	 	 	r17	s93	s91	s99	s95	s92	s98	s90	s94	s97	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I127	I126	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I88	 	 	 	 	 	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I89	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r18	 	 	 	 	 	r18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I90	 	 	r13	r13	r13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I91	 	 	r8	r8	r8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I92	 	 	r11	r11	r11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I93	 	 	r7	r7	r7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I94	 	 	r14	r14	r14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I95	 	 	r10	r10	r10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
